Communities,Lat,Lng
100,42.3598741,-71.1009853
1111 Stratford,41.1866803,-73.1317001
1251 S. Michigan,41.8663459,-87.6238048
2175 Market,37.7663573,-122.4300444
3700M,32.8084853,-96.7960027
91 Sidney,42.3608272,-71.1022987
American Cigar,37.5291727,-77.4233557
Arris,38.8743248,-77.0009645
Bayside Village,37.7851527,-122.3899643
Bixby,38.8771985,-76.9971603
Blossom Plaza,34.064254,-118.236637
Botanica Eastbridge,39.7586843,-104.867379
Botanica Town Center,39.7564071,-104.8997621
Cameron Kinney,37.5286809,-77.4227282
Cherry Tree,41.34057,-81.820075
Chestnut Lake,41.342008,-81.82447
Consolidated Carolina,37.5298081,-77.4240229
Crescent Flats,39.7579431,-104.9013076
Cutters Ridge,37.528108,-77.420227
Easthaven at The Village,41.4948057,-81.4902974
Eliot on 4th (Waterfront Station),38.8784238,-77.0182586
Foundry Lofts,38.8743614,-77.0015222
Grand Lowry Lofts,39.722053,-104.899192
Hamel Mill Lofts,42.775522,-71.0854706
Hummingbird Pointe,41.3778098,-81.7460317
Independence Place I,41.377606,-81.7477109
Independence Place II,41.3765387,-81.7475155
KBL,42.3628963,-71.1014951
Lenox Club,38.8631907,-77.0524773
Lenox Park,38.9937241,-77.0328765
Loft23,42.3622668,-71.1007443
Lucky Strike,37.5276558,-77.4210816
Metro 417,34.0502105,-118.251428
Midtown Towers,41.4082276,-81.6940782
Museum Towers,39.9629497,-75.1683863
North by Northwest ,39.9614187,-75.1682153
North Church Gardens,41.3796297,-81.748635
North Church Towers 1+2,41.3796297,-81.748635
One Franklin Town,39.9598849,-75.1673303
Queenswood,40.7390638,-73.8589393
Radian,42.3522427,-71.0590384
SKY55,41.8659982,-87.6235928
Stratford Crossings,41.0387607,-81.693432
Surfside Towers,41.6795251,-81.4264953
The Aster Conservatory Green,39.7851847,-104.8877258
The Aster Town Center North,39.7615449,-104.8993933
The Continental,32.7802768,-96.7956988
The Drake,39.9471172,-75.1671497
The Element,32.7810446,-96.7961485
The Grand,39.0453586,-77.1141947
The Heritage,32.7208088,-117.1572461
The Knolls,33.7899146,-117.8186843
The Lofts at 1835 Arch,39.9556694,-75.1707761
The Merc,32.7810446,-96.7961485
The Met,34.044671,-118.26211
The Pavilion,41.9782722,-87.8433365
The Presidio Landmark,37.7888642,-122.4746655
The River Lofts at Ashton Mill,41.9068082,-71.4060607
The Uptown,37.809361,-122.270531
The Wilson,32.7812356,-96.7975281
Twelve12,38.8754425,-77.0000458
Winchester Lofts,41.322381,-72.927365