,Name,Full Address,Lat,Lng
0,Waterchase,"401 Rosery Rd., NE Largo FL 33770",27.9261,-82.7826
1,Sundance at Clermont,1601 Johns Lake Rd. Clermont FL 34711,28.5256,-81.7279
2,Edgewater,514 That Way Lake Jackson TX 77566,29.0533,-95.4488
3,Reflections,205 SW 75th St. Gainesville FL 32607,29.6502,-82.4216
4,The Hollows,7520 Potranco Rd. San Antonio TX 78251,29.4525,-98.6355
5,La Mirage,8050 Oakdell Way San Antonio TX 78240,29.5158,-98.5993
6,Bandera Crossing,9821 Camino Villa San Antonio TX 78254,29.5385,-98.6537
7,Vista Crossing,1110 Vista Valet San Antonio TX 78216,29.5583,-98.5096
8,Summit of Thousand Oaks,1550 Thousand Oaks San Antonio TX 78232,29.5913,-98.4697
9,Toscana at Sonterra,19275 Stone Oak Pkwy. San Antonio TX 78258,29.6305,-98.4966
10,Park at Woodlake,9545 Ella Lee Ln. Houston TX 77063,29.7399,-95.5332
11,Bear Creek Crossing,5535 Timber Creek Place Dr. Houston TX 77084,29.8574,-95.6418
12,Willow Brook Crossing,7150 Smiling Wood Ln. Houston TX 77086,29.9166,-95.4933
13,Oakleaf Plantation,250 Cherry Ridge Dr Jacksonville FL 32222,30.1917,-81.8325
14,Cypress Creek,14355 Cornerstone Village Dr. Houston TX 77014,29.9863,-95.4831
15,North Bend,14131 Cornerstone Village Dr. Houston TX 77014,29.9862,-95.4818
16,San Martin,22910 Imperial Valley Drive Houston TX 77073,30.0289,-95.4206
17,Mira Bella Apartments,22921 Imperial Valley Drive Houston TX 77073,30.0293,-95.4219
18,Wynnfield Lakes,12337 Wynnfield Lakes Dr Jacksonville FL 32246,30.3136,-81.4921
19,Angel Landing,9885 North Loop Road Pensacola FL 32507,30.3535,-87.3536
20,Angel Cove,9890 North Loop Road Pensacola FL 32507,30.3559,-87.3552
21,SOCO,6300 S. Congress Ave. Austin TX 78745,30.1983,-97.7771
22,Grande View Apartments,151 Grande View Drive Biloxi MS 39531,30.3952,-88.9833
23,Chez Elan Apartment Homes,317 Racetrack Road NW Fort Walton Beach FL 32547,30.4481,-86.6286
24,Westdale Pointe,7117 Wood Hollow Dr. Austin TX 78731,30.3549,-97.7522
25,Westdale Parke,3543 Greystone Dr. Austin TX 78731,30.3570,-97.7519
26,Westdale Creek,7630 Wood Hollow Dr. Austin TX 78731,30.3616,-97.7503
27,Longspur Crossing,701 W. Longspur Blvd. Austin TX 78753,30.3671,-97.6939
28,On The Green,12007 N. Lamar Blvd. Austin TX 78753,30.3931,-97.6797
29,Walnut Creek Crossing,2000 Cedar Bend Dr. Austin TX 78758,30.4096,-97.6980
30,Wind River Crossing,11411 Research Blvd. Austin TX 78759,30.4115,-97.7442
31,Hunters Chase,12342 Hunters Chase Dr. Austin TX 78729,30.4426,-97.7722
32,Greenbrier Park,2405 S. 13th St. Temple TX 76504,31.0751,-97.3564
33,Bridgemoor at Killeen Apartments,2710 Cunningham Rd. Killeen TX 76542,31.0850,-97.7113
34,Woodbridge Crossing,202 Woodbridge Boulevard Temple TX 76504,31.1118,-97.3833
35,Heritage Square,1700 Breezy Dr. Waco TX 76712,31.4769,-97.2185
36,Garden Place,1106 Hooks Drive Waco TX 76705,31.6298,-97.0968
37,Sherwood Forest,1106 Hooks Dr. Waco TX 76705,31.6298,-97.0968
38,Broadstone Apartments,2720 South Broadway Tyler TX 75701,32.3197,-95.3003
39,Stone Canyon,8911 Youree Dr. Shreveport LA 71115,32.4174,-93.7013
40,Laurel Parc,8601 Millicent Way Shreveport LA 71115,32.4234,-93.7108
41,Orleans Square,8525 Chalmette Dr. Shreveport LA 71115,32.4235,-93.6959
42,Brandywine,8510 Millicent Way Shreveport LA 71115,32.4249,-93.7118
43,Ultris Island Park,1105 Island Park Blvd Shreveport LA 71105,32.4669,-93.6882
44,Mission Village,400 John Wesley Blvd. Bossier City LA 71112,32.5153,-93.7064
45,600 Baylor,600 Baylor Dr. Longview TX 75601,32.5105,-94.7455
46,Regency Park Apartments,701 Gilmer Road Longview TX 75604,32.5130,-94.7695
47,Van Mark Apartments,3980 Old Sterlington Road Monroe LA 71203,32.5653,-92.0652
48,The Abbey,203 Eden Drive Longview TX 75605,32.5238,-94.7411
49,Parkwood Plaza,713 W. Center St Duncanville TX 75116,32.6522,-96.9246
50,Laurels of Sendera,5030 Savannah Club Dr. Arlington TX 76017,32.6652,-97.2154
51,Pavilion,3500 Willowood Circle Arlington TX 76015,32.6907,-97.1352
52,3200 Main,3401 Commerce St Suite 100 Dallas TX 75226,32.7848,-96.7756
53,Deep Ellum Lofts,3401 Commerce St Suite 100 Dallas TX 75226,32.7851,-96.7757
54,Adam Hats Lofts,3401 Commerce St Suite 100 Dallas TX 75226,32.7851,-96.7757
55,Futura Lofts,3401 Commerce St Suite 100 Dallas TX 75226,32.7848,-96.7756
56,Elm Street Lofts,3401 Commerce St Suite 100 Dallas TX 75226,32.7848,-96.7756
57,The Case Building,3131 Main Street Dallas TX 75226,32.7852,-96.7788
58,3333 Elm Street Lofts,3333 Elm Street Dallas TX 75226,32.7864,-96.7764
59,The Summit Apartments,1057 Americana Ln. Mesquite TX 75150,32.8058,-96.6137
60,Station 3700,3700 Post Oak Blvd. Euless TX 76040,32.8174,-97.0719
61,Westdale Hills,1401 Sotogrande Blvd. Euless TX 76040,32.8180,-97.1428
62,Lakeridge,1720 Valley View Ln. Irving TX 75061,32.8314,-97.0235
63,Lake Colony Apartments,4605 Chaha Rd. Garland TX 75043,32.8606,-96.5399
64,On The Lake,4605 Chaha Rd. Garland TX 75043,32.8606,-96.5399
65,Lakeway Point,4605 Chaha Rd. Garland TX 75043,32.8606,-96.5399
66,Lake Colony Townhomes,4605 Chaha Rd. Garland TX 75043,32.8606,-96.5399
67,Copper Canyon,2400 Harwood Rd Bedford TX 76021,32.8519,-97.1284
68,Brookstone & Terrace,3726 Block Drive Irving TX 75038,32.8618,-97.0123
69,Bridgeport Apartments,4111 Polaris Dr Irving TX 75038,32.8637,-97.0102
70,Sable Pointe,4004 Block Dr. Irving TX 75038,32.8631,-97.0134
71,Polaris,4004 Block Dr. Irving TX 75038,32.8631,-97.0134
72,Woodmeade,3811 Block Dr. Irving TX 75038,32.8625,-97.0139
73,Estelle Creek North,4023 Block Dr Irving TX 75038,32.8637,-97.0152
74,Jefferson Place,6306 N. MacArthur Blvd. Irving TX 75039,32.8926,-96.9607
75,Jefferson Creek,800 W. Royal Lane Irving TX 75039,32.8958,-96.9608
76,Sedona Ranch,2749 Northaven Rd. Dallas TX 75229,32.9052,-96.8849
77,La Costa Villas,12500 Merit Drive Dallas TX 75251,32.9179,-96.7720
78,Montfort Crossing,5580 Harvest Hill Rd. Dallas TX 75230,32.9215,-96.8124
79,Santa Fe Ranch,8203 Ranchview Drive Irving TX 75063,32.9210,-96.9611
80,Noel on the Parkway,14222 Dallas Parkway Dallas TX 75254,32.9425,-96.8199
81,Preston Oaks,5800 Preston Oaks Rd Dallas TX 75254,32.9416,-96.8084
82,La Mirada,1433 Regal Drive Richardson TX 75080,32.9433,-96.7673
83,Windridge,14350 Dallas Pkwy. Dallas TX 75254,32.9441,-96.8213
84,Davenport Apartments,14500 Dallas Pkwy Dallas TX 75254,32.9455,-96.8224
85,Rock Creek,5850 Belt Line Rd. Dallas TX 75240,32.9537,-96.8070
86,Preston Villas,17601 Preston Rd. Dallas TX 75252,32.9934,-96.8012
87,The Park on Preston,17878 Preston Rd Dallas TX 75252,32.9954,-96.7970
88,Rustic Oaks,401 Fleming St. Wylie TX 75098,33.0117,-96.5451
89,Brighton Place,357 E. Corporate Dr Lewisville TX 75067,33.0162,-96.9881
90,La Costa,6100 Ohio Drive Plano TX 75024,33.0580,-96.7886
91,Griffin Crossings Apartments,1597 West McIntosh Rd. Griffin GA 30223,33.2768,-84.2955
92,Ridgecrest Apartments,1300 Dallas Drive Denton TX 76205,33.1944,-97.1203
93,Camino Del Sol Apartment Homes,1030 Dallas Drive Denton TX 76205,33.1983,-97.1260
94,Oaks of Denton,425 Bernard Street Denton TX 76201,33.2112,-97.1414
95,West Eagle Green,249 Boy Scout Road Augusta GA 30909,33.5074,-82.0444
96,Windsor Landing,7120 Southlake Pkwy. Morrow GA 30260,33.5609,-84.3379
97,Champions Glen,6425 Oakley Road Union City GA 30291,33.5801,-84.5329
98,Pine Village East,2889 Panthersville Rd. Decatur GA 30034,33.7024,-84.2702
99,Oakley Run,4911 South Cobb Dr. Smyrna GA 30080,33.8334,-84.4931
100,Pine Village North,2400 Post Village Dr. Smyrna GA 30080,33.8417,-84.4947
101,2300 Taylor Apartments,2300 West Taylor Street Sherman TX 75092,33.6504,-96.6445
102,Galleria Courtyards,1400 Galleria Lane Smyrna GA 30080,33.8867,-84.4816
103,Waterford Place,295 East Belle Isle Rd NE. Atlanta GA 30342,33.8895,-84.3781
104,Wellington Ridge,3789 Lawrenceville Hwy. Lawrenceville GA 30044,33.9083,-84.1076
105,Woodland Ridge,1355 Indian Trail Liburn Road Norcross GA 30093,33.9095,-84.1572
106,Brentwood Downs,500 Pleasant Hill Rd. Lilburn GA 30047,33.9113,-84.1139
107,Stanford Village,5375 Stanford Village Lane Norcross GA 30071,33.9385,-84.1961
108,Gwinnett Square,4175 Satellite Blvd. Duluth GA 30096,33.9499,-84.1528
109,Dunwoody Pointe,7901 Roswell Road Sandy Springs GA 30350,33.9728,-84.3530
110,Woodmere Trace,3550 Pleasant Hill Rd. Duluth GA 30096,33.9938,-84.1598
111,The Preserve at Dunwoody,8600 Roberts Drive Dunwoody GA 30350,33.9923,-84.3359
112,Riverwood,1045 Holcomb Bridge Rd. Roswell GA 30075,34.0237,-84.3332
113,Waterstone,1851 Satellite Boulevard Buford GA 30518,34.0859,-84.0006
114,Waterstone at Corona Pointe,1171 E. Baywood Dr. Corona CA 92881,33.8561,-117.5433
115,Copper Canyon,1234 W. Blaine St. Riverside CA 92507,33.9820,-117.3383
116,Hudson Orchard Park,49 Orchard Park Drive Greenville SC 29615,34.8570,-82.3316
117,Gable Oaks,752 Patriot Parkway Rock Hill SC 29730,34.9655,-80.9876
118,Willow Glen,875 East Sunset Drive Monroe NC 28112,34.9727,-80.5342
119,Chase on Monroe Apartments,2163 Commerce Drive Monroe NC 28110,35.0025,-80.5619
120,Woodbrook,2525 Woodbrook Lane Monroe NC 28110,35.0349,-80.5931
121,Sabal Point,12512 Sabal Point Drive Pineville NC 28134,35.0782,-80.8860
122,Johnston Creek Crossing,10310 Cedar Trail Ln. Charlotte NC 28210,35.0923,-80.8550
123,Westwood Apartments,1022 West Buford Street Gaffney SC 29341,35.0807,-81.6608
124,Ultris Patriot Park,3405 Revolution Rd Fayetteville NC 28311,35.1543,-78.9003
125,Galleria Village,1616 Galleria Club Ln. Charlotte NC 28270,35.1361,-80.7355
126,The Village at Apison Pike,8605 Tradewind Cir Ooltewah TN 37363,35.0656,-85.0889
127,Arrowood Crossing,2109 Arrowcreek Drive Charlotte NC 28273,35.1448,-80.9246
128,Peppertree,4335 Central Ave. Charlotte NC 28205,35.2147,-80.7725
129,Sharon Pointe,5626 Sharon Pointe Road Charlotte NC 28215,35.2338,-80.7378
130,Edgeline Flats on Davidson,525 E. 15th Street Charlotte NC 28206,35.2328,-80.8251
131,Crossroads at Village Park,6940 Hidden Forest Drive Charlotte NC 28213,35.2816,-80.7796
132,Marion Ridge,1829 E. Marion Street Shelby NC 28152,35.2772,-81.4846
133,Wexford,1811 Wexford Meadows Ln. Charlotte NC 28262,35.3150,-80.7044
134,Hudson Commons,9201 Glenwater Drive Charlotte NC 28262,35.3175,-80.7517
135,The Village at Brierfield,11609 Windy Creek Drive Charlotte NC 28262,35.3184,-80.6909
136,Huntersville,300 Hunters Road Huntersville NC 28078,35.4185,-80.8544
137,McLain Heights,1003 Southampton Drive Concord NC 28027,35.4295,-80.6118
138,Crestview,1003 Southampton Dr Concord NC 28027,35.4310,-80.6135
139,Davidson Apartment Homes,100 Horizon Court Concord NC 28027,35.4328,-80.6112
140,Huntington Apartments,1100 Crystalwood Court Concord NC 28027,35.4322,-80.6134
141,Waters Edge,100 Waterview Drive Concord NC 28027,35.4332,-80.6281
142,Hampton Forest Apartments,1911 Hampton Forest Drive Concord NC 28027,35.4400,-80.6546
143,Stonewood,445 Stonewood Drive Mooresville NC 28115,35.5677,-80.8161
144,River Park Apartments,130 Nile Circle Mooresville NC 28117,35.6027,-80.9035
145,Alexander Place,200 Hamilton Drive Salisbury NC 28147,35.6544,-80.5011
146,Ashton Woods,1100 Bringle Ferry Road Salisbury NC 28144,35.6664,-80.4518
147,Lakewood,50 Lakewood Drive Salisbury NC 28147,35.6938,-80.5209
148,Hidden Cove,50 Lakewood Drive Salisbury NC 28147,35.6938,-80.5209
149,Brentmoor Apartments,2080 Brentmoor Drive Raleigh NC 27604,35.8059,-78.5943
150,Lexington Farms,3409 Mill Tree Road Raleigh NC 27612,35.8330,-78.6978
151,Forest Ridge Apartments,110 Ridge Mill Circle Lexington NC 27295,35.8361,-80.2644
152,Poplar Place,605 Jones Ferry Rd. Carrboro NC 27510,35.9028,-79.0901
153,Brookwood,900 Brookwood Circle Archdale NC 27263,35.9163,-79.9640
154,Highland Ridge,2452 Bellemeade Street High Point NC 27263,35.9267,-79.9819
155,The Enclave at North Point,4260 Brownsboro Road Winston Salem NC 27106,36.1454,-80.2714
156,The Players Club,1100 Players Ct. Nashville TN 37211,36.0544,-86.7474
157,Autumn Park,1110 Williamsboro Street Oxford NC 27565,36.3118,-78.5589
158,Arbor Glen,643 S. Pierce Eden NC 27288,36.4905,-79.7358
159,Ultris Banyan Grove,3816 Banyan Grove Lane Virginia Beach VA 23462,36.8116,-76.1128
160,Ultris Arrow Canyon,5005 Losee Rd. North Las Vegas NV 89081,36.2505,-115.1172
161,Lofts at Commerce,700 Stockton Street Richmond VA 23224,37.5211,-77.4383
162,Wyndamere,101 Collins Path Georgetown KY 40324,38.2160,-84.5260
163,Ultris Courthouse Square,26 Davenport Dr Stafford VA 22554,38.4259,-77.4157
164,The Vue at Spring Creek,1836 Ralphs Ridge Colorado Springs CO 80910,38.8050,-104.7815
165,Reflections at Cherry Creek,14012 E. Tufts Dr. Aurora CO 80015,39.6327,-104.8251
166,Highland Point,16893 E. Arkansas Ave. Aurora CO 80017,39.6922,-104.7912
167,Greensview,16601 E. Alameda Place Aurora CO 80017,39.7118,-104.7962
168,Steeplechase On Maple,14949 Manderson Plaza Omaha NE 68116,41.2935,-96.1462
169,River South,13000 Harriet Avenue South Burnsville MN 55337,44.7671,-93.2866
170,Ultris Madison,105 Newberry Lane SE Olympia WA 98513,47.0594,-122.7472
171,Ultris Abbey Rowe,9320 Windsor Lane NE Olympia WA 98516,47.0624,-122.7418
